Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast25,HomeTeamGoalScoredLast25,HomeTeamGoalConcededLast25,HomeTeamShotTargetLast25,HomeTeamRedLast25,AwayTeamPointLast25,AwayTeamGoalScoredLast25,AwayTeamGoalConcededLast25,AwayTeamShotTargetLast25,AwayTeamRedLast25,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-10-29,Crystal Palace,Southampton,1,0,H,3,4,0,0,35,30,27,103,0,20,22,49,94,0,8,9,9,26,0,5,9,9,20,0,H
2022-10-29,Newcastle,Aston Villa,4,0,H,7,0,0,0,45,36,27,119,0,27,30,33,128,1,7,3,5,9,0,7,5,3,12,0,A
2022-10-29,Fulham,Everton,0,0,D,6,4,0,0,24,28,43,92,1,30,26,32,87,5,3,6,13,20,0,12,13,6,29,0,H
2022-10-29,Liverpool,Leeds,1,2,A,10,6,0,0,54,55,20,153,1,24,26,47,92,3,13,19,1,55,0,1,1,19,17,2,H
2022-10-30,Arsenal,Nottingham,5,0,H,10,2,0,0,52,48,32,137,1,9,8,23,34,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-30,Man United,West Ham,1,0,H,3,5,0,0,38,35,41,125,0,29,27,30,91,1,15,7,2,30,0,0,2,7,10,0,H
2022-11-05,Leeds,Bournemouth,4,3,H,4,6,0,0,27,28,42,96,3,23,20,48,64,2,0,0,0,0,0,0,0,0,0,0,H
2022-11-05,Man City,Fulham,2,1,H,5,2,1,0,59,75,23,160,0,24,28,43,94,1,15,17,2,44,0,0,2,17,9,1,H
2022-11-05,Nottingham,Brentford,2,2,D,7,2,0,0,9,8,28,36,0,37,40,36,112,2,0,0,0,0,0,0,0,0,0,0,A
2022-11-05,Wolves,Brighton,2,3,A,5,8,1,0,21,20,41,91,3,36,36,31,121,0,9,4,7,18,0,6,7,4,25,2,A
2022-11-05,Everton,Leicester,0,2,A,2,8,0,0,31,26,31,89,4,30,43,39,103,0,9,7,5,16,0,3,5,7,30,0,A
2022-11-06,Chelsea,Arsenal,0,1,A,1,2,0,0,45,44,30,130,2,52,50,30,143,1,6,8,9,19,0,9,9,8,16,0,H
2022-11-06,Aston Villa,Man United,3,1,H,4,3,0,0,24,26,37,119,1,38,34,41,121,0,8,7,7,29,1,5,7,7,27,0,A
2022-11-06,Southampton,Newcastle,1,4,A,5,4,0,0,17,20,50,89,0,45,38,26,122,0,2,8,11,27,0,11,11,8,22,1,A
2022-11-06,West Ham,Crystal Palace,1,2,A,2,6,0,0,28,26,30,93,1,38,31,26,106,0,11,13,10,25,0,2,10,13,19,0,H
2022-11-06,Tottenham,Liverpool,1,2,A,5,6,0,0,52,55,24,138,1,51,53,21,155,1,4,7,9,18,0,7,9,7,25,2,H
2022-11-12,Man City,Brentford,1,2,A,6,8,0,0,62,75,21,161,1,38,42,36,113,1,12,6,0,20,0,0,0,6,8,0,H
2022-11-12,Bournemouth,Everton,3,0,H,9,3,0,0,23,23,51,67,2,28,25,33,88,3,7,11,12,30,1,7,12,11,23,1,H
2022-11-12,Liverpool,Southampton,3,1,H,7,5,0,0,51,49,22,146,1,17,21,50,93,0,15,14,2,28,0,0,2,14,16,0,H
2022-11-12,Nottingham,Crystal Palace,1,0,H,2,0,0,0,10,10,30,43,0,38,29,26,107,0,0,0,0,0,0,0,0,0,0,0,A
2022-11-12,Tottenham,Leeds,4,3,H,8,5,0,1,52,54,23,140,1,30,32,41,97,3,12,13,5,33,0,3,5,13,27,0,H
2022-11-12,West Ham,Leicester,0,2,A,6,6,0,0,25,26,32,91,1,30,43,38,107,0,11,15,8,24,0,2,8,15,11,2,A
2022-11-12,Newcastle,Chelsea,1,0,H,3,2,0,0,45,40,26,122,0,42,40,31,126,2,0,0,10,10,0,15,10,0,23,0,H
2022-11-12,Wolves,Arsenal,0,2,A,2,4,0,0,21,22,42,91,4,52,49,30,137,1,3,4,7,19,0,12,7,4,17,4,A
2022-11-13,Brighton,Aston Villa,1,2,A,2,2,0,0,39,39,31,128,0,24,26,38,114,1,1,0,8,15,0,13,8,0,19,0,H
2022-11-13,Fulham,Man United,1,2,A,7,9,0,0,24,29,44,93,1,35,31,42,115,0,2,6,12,23,1,11,12,6,35,0,H
2022-12-26,Brentford,Tottenham,2,2,D,5,8,0,0,38,41,36,115,1,52,56,26,141,1,2,0,4,8,0,8,4,0,12,0,A
2022-12-26,Crystal Palace,Fulham,0,3,A,0,11,2,0,37,28,26,103,0,21,29,46,97,1,8,7,7,29,0,5,7,7,24,1,H
2022-12-26,Everton,Wolves,1,2,A,6,4,0,0,28,24,34,89,2,18,18,44,88,4,3,3,6,18,2,12,6,3,17,0,H
2022-12-26,Leicester,Newcastle,0,3,A,2,5,0,0,32,44,37,110,0,48,41,25,123,0,6,12,8,23,0,9,8,12,26,0,A
2022-12-26,Southampton,Brighton,1,3,A,4,4,0,0,17,21,51,93,0,39,39,31,126,0,4,7,8,22,0,7,8,7,24,0,A
2022-12-26,Aston Villa,Liverpool,1,3,A,6,9,0,0,27,27,37,109,1,51,51,23,148,1,0,3,8,13,0,15,8,3,32,0,A
2022-12-26,Arsenal,West Ham,3,1,H,5,4,0,0,55,51,28,139,1,25,26,33,92,1,13,11,5,37,0,1,5,11,13,2,H
2022-12-27,Chelsea,Bournemouth,2,0,H,5,4,0,0,39,37,31,121,2,26,26,48,76,2,9,6,5,26,0,6,5,6,10,0,H
2022-12-27,Man United,Nottingham,3,0,H,8,3,0,0,37,33,43,121,0,13,11,30,45,0,0,0,0,0,0,0,0,0,0,0,H
2022-12-28,Leeds,Man City,1,3,A,1,9,0,0,30,35,44,98,4,59,75,23,159,1,3,2,23,12,1,12,23,2,49,0,A
2022-12-30,West Ham,Brentford,0,2,A,5,6,0,0,22,25,35,92,1,36,41,38,116,1,0,2,8,12,0,12,8,2,26,0,A
2022-12-30,Liverpool,Leicester,2,1,H,5,2,0,0,51,52,24,148,1,29,42,39,109,0,6,5,5,34,0,9,5,5,10,0,H
2022-12-31,Wolves,Man United,0,1,A,3,6,0,0,18,19,45,89,4,40,35,39,127,0,6,3,4,28,0,9,4,3,14,0,A
2022-12-31,Bournemouth,Crystal Palace,0,2,A,2,6,0,0,23,25,50,78,2,34,26,29,95,2,5,6,8,20,0,8,8,6,22,1,A
2022-12-31,Fulham,Southampton,2,1,H,2,3,0,0,24,32,43,108,1,17,21,52,90,0,4,4,10,13,0,10,10,4,28,0,H
2022-12-31,Man City,Everton,1,1,D,3,1,0,0,59,74,23,158,1,28,23,33,91,2,15,13,0,41,0,0,0,13,9,0,H
2022-12-31,Newcastle,Leeds,0,0,D,5,1,0,0,51,44,24,122,0,30,36,44,98,4,8,5,4,25,0,5,4,5,28,0,H
2022-12-31,Brighton,Arsenal,2,4,A,5,7,0,0,42,42,30,127,0,55,53,29,141,1,8,4,4,11,0,5,4,4,17,0,A
