Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast40,HomeTeamGoalScoredLast40,HomeTeamGoalConcededLast40,HomeTeamShotTargetLast40,HomeTeamRedLast40,AwayTeamPointLast40,AwayTeamGoalScoredLast40,AwayTeamGoalConcededLast40,AwayTeamShotTargetLast40,AwayTeamRedLast40,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5,FTR_Prediction
2022-10-19,Man United,Tottenham,2,0,H,10,2,0,0,60,56,66,186,2,79,82,38,224,1,15,15,5,27,0,0,5,15,9,0,D
2022-10-20,Fulham,Aston Villa,3,0,H,8,6,0,1,36,36,58,143,3,44,47,55,170,2,7,6,8,31,0,7,8,6,24,0,D
2022-10-20,Leicester,Leeds,2,0,H,1,2,0,0,46,64,69,178,0,41,46,78,160,3,8,5,5,22,0,5,5,5,25,0,H
2022-10-22,Nottingham,Liverpool,1,0,H,7,7,0,0,6,7,23,27,0,90,94,32,253,2,0,0,0,0,0,0,0,0,0,0,A
2022-10-22,Everton,Crystal Palace,3,0,H,6,2,0,0,35,36,64,137,6,53,52,46,165,1,7,9,11,31,0,7,11,9,28,0,A
2022-10-22,Man City,Brighton,3,1,H,4,2,0,0,99,116,33,282,1,51,48,50,178,2,12,16,5,42,1,3,5,16,18,0,H
2022-10-22,Chelsea,Man United,1,1,D,2,6,0,0,75,75,40,214,2,63,56,62,190,2,5,4,4,30,0,5,4,4,14,0,H
2022-10-23,Aston Villa,Brentford,4,0,H,11,3,0,0,44,46,55,172,3,48,55,64,168,2,2,4,6,20,0,8,6,4,12,0,H
2022-10-23,Leeds,Fulham,2,3,A,5,5,0,0,41,46,79,162,3,39,37,55,145,3,12,11,8,35,0,3,8,11,31,0,H
2022-10-23,Southampton,Arsenal,1,1,D,3,3,0,0,43,45,73,176,1,85,78,46,227,3,6,3,9,23,0,9,9,3,27,0,A
2022-10-23,Wolves,Leicester,0,4,A,5,4,0,0,47,34,48,135,3,46,64,68,173,0,7,4,4,13,0,7,4,4,27,0,H
2022-10-23,Tottenham,Newcastle,1,2,A,5,5,0,0,79,82,39,222,1,63,51,51,178,0,13,18,8,25,0,1,8,18,10,2,H
2022-10-24,West Ham,Bournemouth,2,0,H,4,3,0,0,50,53,53,153,2,42,39,71,118,3,6,11,8,27,0,6,8,11,25,0,D
2022-10-29,Leicester,Man City,0,1,A,5,5,0,0,49,68,66,169,0,99,115,33,272,1,0,6,16,20,0,15,16,6,38,0,A
2022-10-29,Bournemouth,Tottenham,2,3,A,4,7,0,0,42,38,70,120,3,79,83,38,227,1,1,3,12,12,0,13,12,3,37,0,A
2022-10-29,Brentford,Wolves,1,1,D,3,4,0,1,48,54,65,166,2,44,32,51,136,3,6,6,4,8,2,6,4,6,4,0,H
2022-10-29,Brighton,Chelsea,4,1,H,9,7,0,0,51,48,49,175,2,73,69,41,203,2,5,4,4,18,1,5,4,4,20,0,A
2022-10-29,Crystal Palace,Southampton,1,0,H,3,4,0,0,52,51,48,164,1,41,45,74,178,1,8,9,9,26,0,5,9,9,20,0,H
2022-10-29,Newcastle,Aston Villa,4,0,H,7,0,0,0,66,53,49,182,0,47,49,51,180,2,7,3,5,9,0,7,5,3,12,0,H
2022-10-29,Fulham,Everton,0,0,D,6,4,0,0,39,38,56,145,3,38,38,62,138,6,3,6,13,20,0,12,13,6,29,0,A
2022-10-29,Liverpool,Leeds,1,2,A,10,6,0,0,87,89,33,252,2,40,47,81,163,3,13,19,1,55,0,1,1,19,17,2,H
2022-10-30,Arsenal,Nottingham,5,0,H,10,2,0,0,83,76,46,221,3,9,8,23,34,0,0,0,0,0,0,0,0,0,0,0,H
2022-10-30,Man United,West Ham,1,0,H,3,5,0,0,64,57,58,192,1,50,51,52,148,2,15,7,2,30,0,0,2,7,10,0,H
2022-11-05,Leeds,Bournemouth,4,3,H,4,6,0,0,40,47,81,163,3,39,38,72,122,3,0,0,0,0,0,0,0,0,0,0,H
2022-11-05,Man City,Fulham,2,1,H,5,2,1,0,102,116,31,274,0,40,38,54,150,3,15,17,2,44,0,0,2,17,9,1,H
2022-11-05,Nottingham,Brentford,2,2,D,7,2,0,0,9,8,28,36,0,49,54,64,162,2,0,0,0,0,0,0,0,0,0,0,D
2022-11-05,Wolves,Brighton,2,3,A,5,8,1,0,45,33,50,138,4,53,50,48,178,2,9,4,7,18,0,6,7,4,25,2,A
2022-11-05,Everton,Leicester,0,2,A,2,8,0,0,38,38,62,140,5,48,67,66,171,0,9,7,5,16,0,3,5,7,30,0,A
2022-11-06,Chelsea,Arsenal,0,1,A,1,2,0,0,70,67,45,204,2,83,79,46,226,3,6,8,9,19,0,9,9,8,16,0,A
2022-11-06,Aston Villa,Man United,3,1,H,4,3,0,0,47,49,54,177,2,64,55,58,191,1,8,7,7,29,1,5,7,7,27,0,A
2022-11-06,Southampton,Newcastle,1,4,A,5,4,0,0,38,44,75,179,1,68,56,48,188,0,2,8,11,27,0,11,11,8,22,1,A
2022-11-06,West Ham,Crystal Palace,1,2,A,2,6,0,0,47,48,51,150,2,52,50,48,164,1,11,13,10,25,0,2,10,13,19,0,A
2022-11-06,Tottenham,Liverpool,1,2,A,5,6,0,0,81,86,40,234,1,86,88,33,259,2,4,7,9,18,0,7,9,7,25,2,A
2022-11-12,Man City,Brentford,1,2,A,6,8,0,0,102,116,32,274,1,49,53,63,160,2,12,6,0,20,0,0,0,6,8,0,H
