Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointWeightLast20,HomeTeamGoalScoredWeightLast20,HomeTeamGoalConcededWeightLast20,HomeTeamShotTargetWeightLast20,HomeTeamRedWeightLast20,AwayTeamPointWeightLast20,AwayTeamGoalScoredWeightLast20,AwayTeamGoalConcededWeightLast20,AwayTeamShotTargetWeightLast20,AwayTeamRedWeightLast20,FTR_Prediction
2023-02-24,Fulham,Wolves,1,1,D,5,2,0,0,33,29,24,80,1,22,16,29,66,4,0.624110607335875,0.4660942170358914,0.3034933666198323,0.7786146672881645,0.0016,0.2640385049109725,0.2080155050386129,0.2056393410518031,0.9790469240878688,0.0016001228800524,H
2023-02-25,Everton,Aston Villa,0,2,A,5,5,0,0,20,15,26,64,0,25,25,32,84,1,0.2537616385646579,0.2423055370226342,0.2404762151971455,1.508931540088112,0.0,0.0131856102758809,0.0496661188266636,0.2880977166741694,0.7352786878541595,2.5600000000000013e-06,A
2023-02-25,Leeds,Southampton,1,0,H,4,2,0,0,12,21,36,73,2,14,14,33,78,0,0.0416018441898557,0.0563266194969723,0.2807381938031664,0.6511779900681618,0.00160002048,0.1200209920196922,0.0803358975722101,0.2505095114348036,1.2916321522893717,0.0,H
2023-02-25,Leicester,Arsenal,0,1,A,0,2,0,0,23,31,33,87,0,45,42,21,108,0,0.0009820897302544,0.2205512173197197,0.4897281052343848,1.1258293105895725,0.0,0.7259948796676985,0.4939700790103534,0.2644505657492583,1.99859231379224,0.0,A
2023-02-25,West Ham,Nottingham,4,0,H,5,3,0,0,20,19,24,73,0,21,16,35,57,0,0.6411663360370148,0.248845845367672,0.0576795144097051,0.5925735097293708,0.0,6.812905191243778e-05,0.0192645572672985,0.6701573555828662,0.2699815437014768,0.0,H
2023-02-25,Bournemouth,Man City,1,4,A,2,5,0,0,18,19,37,70,0,42,47,19,119,1,0.0661248122893946,0.0257538785293736,1.8176935751991168,0.509462589098699,0.0,0.6698076841125191,1.274922153070727,0.0448775417708517,2.035011373881214,5.120000000000002e-07,A
2023-02-25,Crystal Palace,Liverpool,0,0,D,0,4,0,0,22,17,27,68,2,33,35,25,122,0,0.0490642456655272,0.4422663184452787,0.8435406158632689,0.6385224761693595,8.192000000000005e-09,0.1459661566786195,0.5771035184661739,0.4091527424777912,1.543280287959084,0.0,A
2023-02-26,Tottenham,Chelsea,2,0,H,3,2,0,0,32,35,32,107,2,27,20,18,79,2,0.3451536020322701,0.3300522891821135,0.2608320201623601,1.294250695483468,0.0016000000002621,0.6299673731284862,0.460291081050574,0.2896047319286389,0.7913688701701982,0.200000000032768,H
2023-03-01,Arsenal,Everton,4,0,H,5,5,0,0,45,41,20,102,0,19,14,27,62,0,0.6299743983385235,0.4698503950517771,0.3222528287462916,1.9929615689612208,0.0,0.2688081928232895,0.2115276851131711,0.2023810759857484,0.5446577004406112,0.0,H
2023-03-01,Liverpool,Wolves,2,0,H,6,1,0,0,34,34,23,121,0,22,16,29,64,4,0.7298307833931079,1.885517592330869,0.0457637123889561,2.7164014397954617,0.0,0.3201925245548731,0.0400775251930749,0.0281967052590258,0.895234620439365,0.0080006144002621,H
2023-03-04,Man City,Newcastle,2,0,H,3,2,0,0,42,45,20,115,1,36,30,12,98,1,0.3490384205626265,0.374610765353677,0.2243877088542694,1.1750568694061203,2.5600000000000013e-06,0.2107743996034941,0.2432040820804681,0.2819845324803355,1.3428232159988445,1.0485760000000012e-14,H
2023-03-04,Arsenal,Bournemouth,3,2,H,9,4,0,0,45,43,19,98,0,18,20,32,70,0,0.1498719916926488,0.3492519752589273,0.6112641437314581,0.964807844806158,0.0,0.3306240614469731,0.1287693926468786,0.0884678759956244,0.547312945493516,0.0,H
2023-03-04,Aston Villa,Crystal Palace,1,0,H,1,0,0,1,28,27,31,86,1,23,15,23,66,2,0.0659280513794362,0.248330594133339,0.440488583370847,0.6763934392708498,1.2800000000000005e-05,0.2453212283276467,0.2113315922263933,0.217703079316344,1.1926123808467977,4.096000000000002e-08,H
2023-03-04,Brighton,West Ham,4,0,H,9,2,0,0,31,37,28,116,0,20,22,24,76,0,0.7251229312177145,0.4569609900749488,0.0202512890620123,0.6118856420563826,0.0,0.2058316801851051,0.244229226838402,0.2883975720485258,0.9628675486469064,0.0,H
2023-03-04,Chelsea,Leeds,1,0,H,3,2,0,0,24,18,19,78,1,15,22,35,75,2,0.1498368656424304,0.3014554052528702,0.4480236596432155,0.9568443508510112,1.638400000000001e-10,0.2080092209493101,0.281633097484872,0.4036909690158318,1.2558899503408507,0.0080001024,H
2023-03-04,Wolves,Tottenham,1,0,H,5,6,0,0,21,16,31,61,4,34,36,31,106,2,0.6009626227743655,0.2003876259653746,0.1409835262951503,0.476173102196835,0.0400030720013107,0.7257680101613818,0.6502614459105884,0.3041601008118006,2.471253477417372,0.0080000000013107,A
2023-03-04,Southampton,Leicester,1,0,H,5,0,0,0,14,14,33,75,0,23,30,32,82,0,0.6001049600984614,0.4016794878610506,0.2525475571740285,1.45816076144688,0.0,0.0049104486512721,0.1027560865985986,0.4486405261719346,0.6291465529478611,0.0,D
2023-03-05,Nottingham,Everton,2,2,D,4,3,0,0,21,16,37,59,0,18,13,30,65,0,0.0003406452595621,0.0963227863364927,1.3507867779143723,0.3499077185074155,0.0,0.3440409641164472,0.0576384255658557,0.0119053799287842,0.7232885022031087,0.0,H
