Combo,Accuracy
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'GoalConcededLast20')",66.55290102389078
"('GoalScoredLast20', 'PointLast20', 'PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20')",66.55290102389078
"('PointLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10')",66.55290102389078
"('GoalScoredLast20', 'PointH2HLast10', 'GoalConcededLast20')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('GoalScoredLast20', 'PointLast20', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'PointLast20', 'PointH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('GoalScoredLast20', 'PointH2HLast10', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededLast20')",66.55290102389078
"('GoalScoredLast20', 'PointH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'PointH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('GoalScoredLast20', 'PointLast20', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'PointH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'RedH2HLast10')",66.55290102389078
"('PointLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20')",66.55290102389078
"('ShotTargetLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20')",66.55290102389078
"('PointH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('PointH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'GoalScoredH2HLast10', 'RedH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'ShotTargetH2HLast10', 'GoalConcededLast20')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'GoalScoredH2HLast10', 'GoalConcededLast20')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'ShotTargetH2HLast10', 'RedLast20')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'PointLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'GoalConcededLast20')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'RedLast20', 'GoalConcededLast20')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",66.55290102389078
"('ShotTargetLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'PointH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('PointH2HLast10', 'GoalScoredH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededLast20')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'RedH2HLast10', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedLast20')",66.55290102389078
"('ShotTargetLast20', 'PointH2HLast10', 'RedLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'GoalScoredLast20', 'PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.55290102389078
"('ShotTargetLast20', 'GoalConcededH2HLast10')",66.89419795221842
"('ShotTargetLast20', 'RedLast20')",66.89419795221842
"('ShotTargetLast20', 'GoalScoredLast20', 'GoalScoredH2HLast10')",66.89419795221842
"('ShotTargetLast20', 'GoalScoredLast20', 'RedLast20')",66.89419795221842
"('PointLast20', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.89419795221842
"('PointH2HLast10', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.89419795221842
"('ShotTargetLast20', 'GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'GoalConcededH2HLast10')",66.89419795221842
"('ShotTargetLast20', 'GoalScoredLast20', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.89419795221842
"('PointH2HLast10', 'RedH2HLast10', 'RedLast20', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.89419795221842
"('GoalScoredH2HLast10', 'ShotTargetH2HLast10', 'RedH2HLast10', 'RedLast20')",66.89419795221842
"('PointLast20', 'ShotTargetH2HLast10', 'RedH2HLast10', 'GoalConcededLast20', 'GoalConcededH2HLast10')",66.89419795221842
