Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast25,HomeTeamGoalScoredLast25,HomeTeamGoalConcededLast25,HomeTeamShotTargetLast25,HomeTeamRedLast25,AwayTeamPointLast25,AwayTeamGoalScoredLast25,AwayTeamGoalConcededLast25,AwayTeamShotTargetLast25,AwayTeamRedLast25,HomeTeamPointH2HLast5,HomeTeamGoalScoredH2HLast5,HomeTeamGoalConcededH2HLast5,HomeTeamShotTargetH2HLast5,HomeTeamRedH2HLast5,AwayTeamPointH2HLast5,AwayTeamGoalScoredH2HLast5,AwayTeamGoalConcededH2HLast5,AwayTeamShotTargetH2HLast5,AwayTeamRedH2HLast5
2015-11-21,Chelsea,Norwich,1,0,H,7,2,0,0,39,34,34,108,5,20,25,48,107,2,11,8,2,45,0,2,2,8,17,0
2015-11-21,Everton,Aston Villa,4,0,H,9,3,0,0,37,37,31,113,2,21,29,43,89,2,10,12,7,34,0,4,7,12,14,0
2015-11-21,Man City,Liverpool,1,4,A,3,9,0,0,53,58,22,169,0,37,29,33,121,3,7,10,9,21,0,7,9,10,29,1
2015-11-21,Newcastle,Leicester,0,3,A,1,7,0,0,17,22,48,94,7,49,49,35,116,0,8,5,5,27,2,5,5,5,21,0
2015-11-21,Southampton,Stoke,0,1,A,1,4,0,0,34,35,29,115,3,37,30,24,94,3,6,6,6,22,0,6,6,6,13,0
2015-11-21,Swansea,Bournemouth,2,2,D,4,4,0,0,35,30,32,109,0,8,12,25,43,0,0,0,0,0,0,0,0,0,0,0
2015-11-21,Watford,Man United,1,2,A,5,6,0,0,29,26,34,96,1,47,36,21,108,1,0,1,6,8,0,6,6,1,20,0
2015-11-21,West Brom,Arsenal,2,1,H,1,3,0,0,32,24,33,82,3,56,46,17,165,2,1,3,9,16,0,13,9,3,33,1
2015-11-22,Tottenham,West Ham,4,1,H,12,4,0,0,42,39,29,130,1,30,31,35,99,4,7,6,9,35,2,7,9,6,28,1
2015-11-23,Crystal Palace,Sunderland,0,1,A,7,4,0,0,40,34,28,105,2,20,22,43,89,3,7,8,5,17,1,4,5,8,14,1
2015-11-28,Aston Villa,Watford,2,3,A,6,6,0,0,21,28,45,90,1,26,26,36,96,1,4,2,0,10,0,1,0,2,11,0
2015-11-28,Bournemouth,Everton,3,3,D,10,6,0,0,9,14,27,47,0,39,39,29,119,2,0,0,0,0,0,0,0,0,0,0
2015-11-28,Crystal Palace,Newcastle,5,1,H,8,2,0,0,40,33,27,109,2,17,22,46,94,7,3,4,8,18,0,9,8,4,28,0
2015-11-28,Leicester,Man United,1,1,D,3,2,0,0,51,50,33,119,0,50,37,20,111,1,3,7,12,18,0,12,12,7,35,1
2015-11-28,Man City,Southampton,3,1,H,9,8,0,0,50,54,26,163,0,34,35,28,111,3,10,11,5,27,1,4,5,11,20,0
2015-11-28,Sunderland,Stoke,2,0,H,5,3,0,1,22,23,43,91,3,37,29,23,92,3,8,6,5,24,2,5,5,6,30,1
2015-11-29,Liverpool,Swansea,1,0,H,2,0,0,0,37,31,34,126,3,33,30,33,107,0,13,16,6,49,0,1,6,16,23,0
2015-11-29,Norwich,Arsenal,1,1,D,2,3,0,0,20,25,47,103,2,53,45,18,164,2,4,6,12,25,0,10,12,6,46,0
2015-11-29,Tottenham,Chelsea,0,0,D,4,1,0,0,44,41,28,134,1,41,34,33,110,4,5,8,13,22,1,8,13,8,32,1
2015-11-29,West Ham,West Brom,1,1,D,6,3,0,0,29,30,37,98,4,34,26,34,82,3,8,9,7,26,0,5,7,9,32,1
2015-12-05,Arsenal,Sunderland,3,1,H,7,4,0,0,51,44,19,163,2,25,25,41,93,2,13,10,2,37,1,1,2,10,18,0
2015-12-05,Chelsea,Bournemouth,0,1,A,6,5,0,0,39,33,33,108,4,10,17,30,57,0,0,0,0,0,0,0,0,0,0,0
2015-12-05,Man United,West Ham,0,0,D,1,2,0,0,48,36,21,103,1,30,30,35,99,4,11,10,5,33,2,2,5,10,16,0
2015-12-05,Southampton,Aston Villa,1,1,D,5,2,0,0,34,36,30,117,3,21,30,47,93,1,8,10,5,30,0,5,5,10,19,0
2015-12-05,Stoke,Man City,2,0,H,4,4,0,0,34,28,25,93,4,53,56,25,171,0,4,2,8,15,0,10,8,2,29,0
2015-12-05,Swansea,Leicester,0,3,A,2,5,0,0,30,29,34,105,0,52,51,32,120,0,3,2,2,9,0,3,2,2,10,0
2015-12-05,Watford,Norwich,2,0,H,7,1,0,0,28,28,37,96,1,18,25,48,102,2,0,0,0,0,0,0,0,0,0,0
2015-12-05,West Brom,Tottenham,1,1,D,4,3,0,0,32,26,35,82,3,42,38,26,131,1,5,5,8,20,1,8,8,5,29,0
2015-12-06,Newcastle,Liverpool,2,0,H,1,1,0,0,14,22,51,91,7,37,30,33,123,3,4,4,12,13,5,10,12,4,31,0
2015-12-07,Everton,Crystal Palace,1,1,D,4,5,0,0,40,42,30,123,2,40,35,27,112,1,7,9,6,23,0,7,6,9,15,0
2015-12-12,Bournemouth,Man United,2,1,H,5,5,0,0,13,18,30,62,0,46,35,21,99,1,0,0,0,0,0,0,0,0,0,0
2015-12-12,Crystal Palace,Southampton,1,0,H,5,3,0,0,41,36,27,114,1,32,36,31,119,3,1,3,9,14,1,13,9,3,18,1
2015-12-12,Man City,Swansea,2,1,H,5,7,0,0,50,54,27,166,0,30,27,34,102,0,13,12,5,40,0,1,5,12,21,0
2015-12-12,Norwich,Everton,1,1,D,2,3,0,0,18,24,46,99,2,41,43,29,122,2,6,7,8,29,0,6,8,7,30,0
2015-12-12,Sunderland,Watford,0,1,A,2,6,0,0,24,25,43,94,2,31,30,34,100,1,0,0,0,0,0,0,0,0,0,0
2015-12-12,West Ham,Stoke,0,0,D,9,3,0,0,31,30,34,96,4,34,28,25,94,4,5,5,7,14,0,8,7,5,24,0
2015-12-13,Aston Villa,Arsenal,0,2,A,2,4,0,0,19,29,47,87,1,51,45,19,161,2,3,5,13,16,0,12,13,5,33,1
2015-12-13,Liverpool,West Brom,2,2,D,8,2,0,0,34,28,35,116,3,33,26,34,85,3,8,7,5,36,0,5,5,7,18,0
2015-12-13,Tottenham,Newcastle,1,2,A,8,4,0,0,40,37,26,128,1,17,24,50,90,7,9,10,5,41,0,6,5,10,23,0
2015-12-14,Leicester,Chelsea,2,1,H,5,5,0,0,54,54,32,122,0,38,32,33,107,4,0,4,14,19,2,15,14,4,32,1
2015-12-19,Chelsea,Sunderland,3,1,H,7,3,0,0,35,30,33,109,4,24,25,40,94,2,10,10,7,41,0,4,7,10,21,0
2015-12-19,Everton,Leicester,2,3,A,5,5,0,0,39,41,30,116,2,57,53,29,122,0,7,10,9,25,1,4,9,10,17,0
2015-12-19,Man United,Norwich,1,2,A,2,4,0,0,43,33,23,101,1,18,24,46,96,2,12,11,2,42,0,3,2,11,19,0
2015-12-19,Newcastle,Aston Villa,1,1,D,4,7,0,0,20,26,48,90,6,16,25,49,81,1,13,6,2,29,1,1,2,6,10,0
2015-12-19,Southampton,Tottenham,0,2,A,4,6,0,0,31,35,31,117,3,40,38,25,135,1,1,6,10,22,0,13,10,6,19,0
2015-12-19,Stoke,Crystal Palace,1,2,A,5,3,0,0,35,28,24,95,4,41,34,26,115,1,4,4,5,14,0,7,5,4,17,0
2015-12-19,West Brom,Bournemouth,1,2,A,2,7,2,0,31,27,36,82,3,16,20,31,67,0,0,0,0,0,0,0,0,0,0,0
2015-12-20,Swansea,West Ham,0,0,D,2,2,0,0,30,28,35,106,0,32,30,31,104,4,2,2,7,17,1,11,7,2,29,1
2015-12-20,Watford,Liverpool,3,0,H,5,4,0,0,33,29,32,96,1,32,29,37,119,3,0,0,5,8,0,6,5,0,23,0
