Date,HomeTeam,AwayTeam,FTR,HomeTeamShotTargetLast20,HomeTeamRatingLast20,AwayTeamShotTargetLast20,AwayTeamRatingLast20,HomeTeamWin%H2HLast10,AwayTeamWin%H2HLast10
2015-12-28,West Brom,Newcastle,H,62,11.6,70,12.3,30,40
2015-12-28,West Ham,Southampton,H,83,13.8,102,14.4,30,30
2015-12-29,Leicester,Man City,D,97,23.5,136,19.6,33.33333333,50
2015-12-30,Sunderland,Liverpool,A,73,7.8,92,15.9,10,50
2016-01-02,Arsenal,Newcastle,H,123,23,64,11.2,80,0
2016-01-02,Leicester,Bournemouth,D,101,22.4,81,12.9,0,0
2016-01-02,Man United,Swansea,H,70,14,72,10.1,55.55555556,33.33333333
2016-01-02,Norwich,Southampton,H,75,12,95,13,28.57142857,42.85714286
2016-01-02,Sunderland,Aston Villa,H,73,7.3,67,4,10,40
2016-01-02,Watford,Man City,A,72,18,130,18.8,0,33.33333333
2016-01-02,West Brom,Stoke,H,62,13.5,75,19.4,30,40
2016-01-02,West Ham,Liverpool,H,85,15.6,95,17.5,30,60
2016-01-03,Crystal Palace,Chelsea,A,91,18.1,88,11.7,28.57142857,71.42857143
2016-01-03,Everton,Tottenham,D,90,14.1,124,22,30,40
2016-01-12,Aston Villa,Crystal Palace,H,65,3.7,88,16.2,14.28571429,57.14285714
2016-01-12,Bournemouth,West Ham,A,81,12.9,94,17.2,100,0
2016-01-12,Newcastle,Man United,D,66,10.3,75,15.8,20,50
2016-01-13,Chelsea,West Brom,D,84,13.9,62,15.3,50,30
2016-01-13,Liverpool,Arsenal,D,93,16.2,113,24,20,40
2016-01-13,Man City,Everton,D,129,19.5,92,13.9,50,30
2016-01-13,Southampton,Watford,H,95,11.7,73,16.4,0,0
2016-01-13,Stoke,Norwich,H,69,17.9,71,14.1,28.57142857,28.57142857
2016-01-13,Swansea,Sunderland,A,74,8.7,70,9.5,22.22222222,11.11111111
2016-01-13,Tottenham,Leicester,A,125,21.3,96,21.3,55.55555556,22.22222222
2016-01-16,Aston Villa,Leicester,D,65,6.2,90,22.2,44.44444444,33.33333333
2016-01-16,Bournemouth,Norwich,H,83,11.9,67,13,0,100
2016-01-16,Chelsea,Everton,D,83,13.4,89,13.5,60,40
2016-01-16,Man City,Crystal Palace,H,127,18.9,82,14.7,85.71428571,14.28571429
2016-01-16,Newcastle,West Ham,H,68,10.2,95,18.7,40,30
2016-01-16,Southampton,West Brom,H,97,13.6,66,15.2,30,30
2016-01-16,Tottenham,Sunderland,H,126,19.2,70,12.1,80,0
2016-01-17,Liverpool,Man United,A,96,15.5,78,14.9,30,60
2016-01-17,Stoke,Arsenal,D,72,19.2,112,22.8,30,50
2016-01-18,Swansea,Watford,H,69,8.2,69,15,0,100
2016-01-23,Crystal Palace,Tottenham,A,81,13.1,130,20.7,28.57142857,42.85714286
2016-01-23,Leicester,Stoke,H,89,21.3,71,19,33.33333333,33.33333333
2016-01-23,Man United,Southampton,A,77,16.5,98,15.3,70,10
2016-01-23,Norwich,Liverpool,A,64,11.8,98,14.2,0,77.77777778
2016-01-23,Sunderland,Bournemouth,D,70,11,89,13.8,0,100
2016-01-23,Watford,Newcastle,H,66,13.5,76,12.6,33.33333333,33.33333333
2016-01-23,West Brom,Aston Villa,D,66,13.7,69,6.9,40,20
2016-01-23,West Ham,Man City,D,95,17,123,19.6,20,60
2016-01-24,Arsenal,Chelsea,A,108,21.8,87,13.6,20,50
2016-01-24,Everton,Swansea,A,89,13.2,65,9.8,55.55555556,0
2016-02-02,Arsenal,Southampton,D,104,19.5,95,17,40,20
2016-02-02,Crystal Palace,Bournemouth,A,78,11.9,87,13.8,0,0
2016-02-02,Leicester,Liverpool,H,92,22.2,97,15.7,11.11111111,66.66666667
2016-02-02,Man United,Stoke,H,70,14.8,72,17,60,20
2016-02-02,Norwich,Tottenham,A,62,10.7,135,21.6,22.22222222,44.44444444
2016-02-02,Sunderland,Man City,A,73,11.3,117,19.2,30,50
2016-02-02,West Brom,Swansea,D,60,13.5,61,12.4,33.33333333,66.66666667
2016-02-02,West Ham,Aston Villa,H,94,16.5,71,7.4,20,40
2016-02-03,Everton,Newcastle,H,90,11.8,78,11.5,70,20
2016-02-03,Watford,Chelsea,D,71,15.2,88,15.1,0,66.66666667
2016-02-06,Aston Villa,Norwich,H,67,7,63,9.8,55.55555556,22.22222222
2016-02-06,Liverpool,Sunderland,D,98,14.7,72,10.2,60,10
2016-02-06,Man City,Leicester,A,114,19.9,96,23.5,42.85714286,28.57142857
2016-02-06,Newcastle,West Brom,H,81,10.6,62,13.1,40,30
2016-02-06,Southampton,West Ham,H,90,16.4,95,17.8,30,30
