Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10,Home_Win_Prob,Draw_Prob,Away_Win_Prob
2015-11-02,Tottenham,Aston Villa,3,1,H,6,2,0,0,31,28,22,99,1,17,25,36,74,1,25,20,5,85,2,4,5,20,35,2,0.614642771913693,0.23814677292287847,0.1472104551634285
2015-11-07,Bournemouth,Newcastle,0,1,A,5,1,0,0,8,12,24,38,0,11,20,39,81,6,0,0,0,0,0,0,0,0,0,0,0.45504492100470706,0.19936134241424874,0.3455937365810441
2015-11-07,Leicester,Watford,2,1,H,6,4,0,0,44,42,26,96,0,24,21,26,68,1,0,0,0,0,0,0,0,0,0,0,0.6762025223568726,0.15062123439707284,0.1731762432460545
2015-11-07,Man United,West Brom,2,0,H,3,0,0,1,35,27,19,84,1,25,21,29,72,2,18,21,14,75,0,9,14,21,50,1,0.5897650075444121,0.2197209961773587,0.19051399627822918
2015-11-07,Norwich,Swansea,1,0,H,5,0,0,0,13,21,41,84,2,29,25,26,93,0,11,13,12,43,0,5,12,13,41,0,0.280865874490634,0.33727236697594365,0.3818617585334224
2015-11-07,Stoke,Chelsea,1,0,H,2,4,0,0,25,24,22,79,3,31,28,29,86,4,5,5,18,35,1,23,18,5,86,0,0.4444851631738848,0.2578710751692817,0.2976437616568334
2015-11-07,Sunderland,Southampton,0,1,A,3,4,0,0,18,21,35,76,2,27,32,25,96,3,10,9,19,41,0,16,19,9,69,1,0.2659870760137158,0.263922803341878,0.47009012064440636
2015-11-07,West Ham,Everton,1,1,D,5,4,0,0,28,27,25,78,4,32,31,24,90,2,3,11,19,34,3,24,19,11,59,1,0.3539987743930461,0.29653391351601577,0.3494673120909381
2015-11-08,Arsenal,Tottenham,1,1,D,4,4,0,0,43,36,14,135,2,34,31,20,104,1,14,21,17,69,0,14,17,21,54,2,0.485538649049029,0.2905017072617344,0.2239596436892367
2015-11-08,Aston Villa,Man City,0,0,D,0,3,0,0,14,22,39,68,1,46,50,19,142,0,6,7,26,45,0,24,26,7,89,0,0.07042199773246549,0.184990250946887,0.7445877513206475
2015-11-08,Liverpool,Crystal Palace,1,2,A,4,4,0,0,25,21,30,95,3,31,25,22,86,1,7,11,13,32,0,10,13,11,26,0,0.34089875475450027,0.33290874267027737,0.3261925025752224
2015-11-21,Chelsea,Norwich,1,0,H,7,2,0,0,28,26,29,80,4,16,20,37,86,2,20,18,4,74,0,2,4,18,28,1,0.527037972792396,0.2972050255180651,0.17575700168953892
2015-11-21,Everton,Aston Villa,4,0,H,9,3,0,0,30,30,24,91,2,15,22,38,65,1,16,20,14,75,0,10,14,20,42,1,0.6357690473507821,0.2325553555958715,0.13167559705334642
