Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Referee,HST,AST,HR,AR,HomeTeamPointLast20,HomeTeamGoalScoredLast20,HomeTeamGoalConcededLast20,HomeTeamShotTargetLast20,HomeTeamRedLast20,AwayTeamPointLast20,AwayTeamGoalScoredLast20,AwayTeamGoalConcededLast20,AwayTeamShotTargetLast20,AwayTeamRedLast20,HomeTeamPointH2HLast10,HomeTeamGoalScoredH2HLast10,HomeTeamGoalConcededH2HLast10,HomeTeamShotTargetH2HLast10,HomeTeamRedH2HLast10,AwayTeamPointH2HLast10,AwayTeamGoalScoredH2HLast10,AwayTeamGoalConcededH2HLast10,AwayTeamShotTargetH2HLast10,AwayTeamRedH2HLast10
2015-10-31,Man City,Norwich,2,1,H,R Madley,5,3,0,1,43,48,19,142,0,14,21,40,86,1,17,28,11,79,1,5,11,28,37,1
2015-10-31,Newcastle,Stoke,0,0,D,R East,6,2,0,0,10,20,42,79,7,24,24,23,79,3,13,16,14,54,0,16,14,16,35,2
2015-10-31,Swansea,Arsenal,0,3,A,K Friend,3,5,0,0,29,25,24,93,0,43,36,14,139,2,13,11,10,35,0,10,10,11,57,0
2015-10-31,Watford,West Ham,2,0,H,K Stroud,5,3,0,1,22,21,28,73,1,28,27,26,76,3,4,2,1,9,0,1,1,2,14,0
2015-10-31,West Brom,Leicester,2,3,A,A Taylor,6,5,0,0,28,20,26,71,2,41,42,28,96,0,3,3,3,8,0,3,3,3,9,0
2015-11-01,Everton,Sunderland,6,2,H,A Marriner,8,9,0,0,32,28,22,91,2,18,19,33,69,2,15,13,9,70,1,12,9,13,49,0
2015-11-01,Southampton,Bournemouth,2,0,H,C Pawson,2,2,1,0,25,31,26,99,2,8,12,22,36,0,0,0,0,0,0,0,0,0,0,0
2015-11-02,Tottenham,Aston Villa,3,1,H,M Dean,6,2,0,0,31,28,22,99,1,17,25,36,74,1,25,20,5,85,2,4,5,20,35,2
2015-11-07,Bournemouth,Newcastle,0,1,A,L Mason,5,1,0,0,8,12,24,38,0,11,20,39,81,6,0,0,0,0,0,0,0,0,0,0
2015-11-07,Leicester,Watford,2,1,H,R East,6,4,0,0,44,42,26,96,0,24,21,26,68,1,0,0,0,0,0,0,0,0,0,0
2015-11-07,Man United,West Brom,2,0,H,M Dean,3,0,0,1,35,27,19,84,1,25,21,29,72,2,18,21,14,75,0,9,14,21,50,1
2015-11-07,Norwich,Swansea,1,0,H,M Clattenburg,5,0,0,0,13,21,41,84,2,29,25,26,93,0,11,13,12,43,0,5,12,13,41,0
2015-11-07,Stoke,Chelsea,1,0,H,A Taylor,2,4,0,0,25,24,22,79,3,31,28,29,86,4,5,5,18,35,1,23,18,5,86,0
2015-11-07,Sunderland,Southampton,0,1,A,M Jones,3,4,0,0,18,21,35,76,2,27,32,25,96,3,10,9,19,41,0,16,19,9,69,1
