Date,HomeTeam,AwayTeam,Home team Points,Home team Goal scored,Home team Goal conceded,Home team Shot on target,Home team Red Cards,Away team Points,Away team Goal scored,Away team Goal conceded,Away team Shot on target,Away team Red Cards,Home team Points H2H,Home team Goal scored H2H,Home Team Red Cards H2H,Home Team Shot on Target H2H,Away team Points H2H,Away team Goal scored H2H,Away Team Red Cards H2H,Away Team Shot on Target H2H
21/01/2023,West Ham,Everton,961,980,1115,3762,59,1226,1147,1146,4676,84,23,22,3,98,32,27,4,87
21/01/2023,Crystal Palace,Newcastle,483,482,589,1620,17,1026,988,1180,4168,73,9,10,0,42,15,13,0,42
22/01/2023,Leeds,Brentford,387,403,507,1515,25,138,144,168,462,9,3,6,0,18,3,6,0,9
22/01/2023,Man City,Wolves,1542,1591,878,5516,63,392,358,513,1572,20,22,18,1,82,4,10,3,26
22/01/2023,Arsenal,Man United,1683,1625,927,5933,78,1746,1611,861,6038,53,40,37,1,165,22,26,2,111
23/01/2023,Fulham,Tottenham,623,613,790,2895,41,1458,1406,1055,5576,58,18,17,1,99,21,21,1,59
3/2/2023,Chelsea,Fulham,1750,1634,779,5952,63,623,613,790,2895,41,35,27,2,125,5,12,0,57
4/2/2023,Everton,Arsenal,1226,1147,1146,4676,84,1683,1625,927,5933,78,35,30,3,92,29,36,2,127
4/2/2023,Aston Villa,Leicester,965,963,1100,3945,52,616,664,667,2045,35,19,16,1,48,10,15,2,49
4/2/2023,Brentford,Southampton,138,144,168,462,9,733,733,890,2983,42,9,9,0,15,0,0,0,12
4/2/2023,Brighton,Bournemouth,282,250,292,871,18,181,196,261,610,9,4,4,0,12,1,2,0,10
4/2/2023,Man United,Crystal Palace,1746,1611,861,6038,53,483,482,589,1620,17,28,21,0,66,7,7,1,22
4/2/2023,Wolves,Liverpool,392,358,513,1572,20,1697,1625,826,6122,46,2,2,0,26,23,13,0,62
4/2/2023,Newcastle,West Ham,1026,988,1180,4168,73,961,980,1115,3762,59,31,37,0,117,19,26,2,98
5/2/2023,Nottingham,Leeds,,,,,,387,403,507,1515,25,,,,,,,,
5/2/2023,Tottenham,Man City,1458,1406,1055,5576,58,1542,1591,878,5516,63,45,33,1,147,21,25,2,133
8/2/2023,Man United,Leeds,1746,1611,861,6038,53,387,403,507,1515,25,20,28,0,67,2,8,0,27
11/2/2023,West Ham,Chelsea,961,980,1115,3762,59,1750,1634,779,5952,63,26,23,1,97,32,34,2,125
11/2/2023,Arsenal,Brentford,1683,1625,927,5933,78,138,144,168,462,9,9,6,0,24,0,3,0,6
11/2/2023,Crystal Palace,Brighton,483,482,589,1620,17,282,250,292,871,18,8,8,0,22,5,7,1,28
11/2/2023,Fulham,Nottingham,623,613,790,2895,41,,,,,,,,,,,,,
11/2/2023,Leicester,Tottenham,616,664,667,2045,35,1458,1406,1055,5576,58,13,22,0,75,25,31,0,81
11/2/2023,Southampton,Wolves,733,733,890,2983,42,392,358,513,1572,20,3,5,0,36,15,8,0,20
11/2/2023,Bournemouth,Newcastle,181,196,261,610,9,1026,988,1180,4168,73,1,2,0,10,4,3,0,5
12/2/2023,Leeds,Man United,387,403,507,1515,25,1746,1611,861,6038,53,5,11,0,46,17,18,0,58
12/2/2023,Man City,Aston Villa,1542,1591,878,5516,63,965,963,1100,3945,52,54,57,2,151,6,18,1,82
13/02/2023,Liverpool,Everton,1697,1625,826,6122,46,1226,1147,1146,4676,84,51,42,3,173,12,14,4,81
15/02/2023,Arsenal,Man City,1683,1625,927,5933,78,1542,1591,878,5516,63,33,28,5,124,30,27,6,101
18/02/2023,Aston Villa,Arsenal,965,963,1100,3945,52,1683,1625,927,5933,78,9,11,1,76,45,29,1,104
18/02/2023,Brentford,Crystal Palace,138,144,168,462,9,483,482,589,1620,17,3,0,0,6,3,0,0,9
18/02/2023,Brighton,Fulham,282,250,292,871,18,623,613,790,2895,41,2,2,0,10,2,2,0,8
18/02/2023,Chelsea,Southampton,1750,1634,779,5952,63,733,733,890,2983,42,31,33,0,109,13,22,3,56
18/02/2023,Everton,Leeds,1226,1147,1146,4676,84,387,403,507,1515,25,17,17,0,63,5,3,1,19
18/02/2023,Nottingham,Man City,,,,,,1542,1591,878,5516,63,,,,,,,,
18/02/2023,Wolves,Bournemouth,392,358,513,1572,20,181,196,261,610,9,,,,,,,,
18/02/2023,Newcastle,Liverpool,1026,988,1180,4168,73,1697,1625,826,6122,46,28,20,3,74,28,29,2,129
19/02/2023,Man United,Leicester,1746,1611,861,6038,53,616,664,667,2045,35,28,22,0,79,7,9,1,41
19/02/2023,Tottenham,West Ham,1458,1406,1055,5576,58,961,980,1115,3762,59,42,39,0,141,9,20,3,65
